  File                                   Lines   ~Tokens
  ------------------------------------  ------  --------
  src/read_commands.ts                    3873     64511
  src/cli.ts                              3372     62372
  src/parser.ts                           2822     44755
  src/hooks_bash.ts                       1427     36522
  src/config.ts                           2081     25679
  src/text_commands.ts                    1688     24028
  src/worker.ts                           1358     22626
  src/tool_filters/cloud.ts               1298     21597
  src/graph_commands.ts                   1474     21354
  src/hooks_read.ts                       1345     21316
  src/tool_filters/build.ts               1336     21185
  src/tool_filters/misc.ts                 313     20826
  src/tool_filters/linters.ts              726     20114
  src/tool_filters/languages.ts           1165     18476
  src/tool_filters/git.ts                 1107     18417
  src/tool_filters/shell_file.ts           274     18156
  src/tool_filters/package_managers.ts     688     17603
  src/languages/common.ts                 1183     17140
  src/embeddings.ts                        863     15967
  src/util.ts                              978     14170
  src/tool_filters/ci.ts                   780     13632
  src/skill_cache.ts                       764     12111
  src/config_commands.ts                   770     11936
  src/hint_stats.ts                        527     10965
  src/session.ts                           667     10581
  src/tool_filters/helpers.ts              432     10276
  src/tool_filters/containers.ts           540      9983
  src/tool_filters/families.ts             143      9486
  src/section_reader.ts                    539      9434
  src/cli_doctor.ts                        564      9386
  src/render/stats_renderer.ts             503      9278
  src/db.ts                                634      9171
  src/session_store.ts                     406      9008
  src/bash_output_cache.ts                 512      8969
  src/pack.ts                             1170      8471
  src/compact.ts                           581      8406
  src/coverage_query.ts                    319      8178
  src/mcp_compress_packs.ts                360      7481
  src/cache_session_commands.ts            380      7417
  src/install.ts                           468      7413
  src/stats.ts                             400      7397
  src/mcp_server.ts                        597      7099
  src/tool_filters/ai_clis.ts              170      7030
  src/sqlite_query.ts                      277      6591
  src/bridges/copilot_cli.ts               322      6305
  src/dep_docs.ts                          264      6267
  src/bridges/gemini_install.ts            296      6159
  src/hooks_compact.ts                     351      6145
  src/languages/salesforce_metadata.ts     470      6015
  src/webfetch.ts                          522      5993
  src/bridges/pi.ts                        282      5868
  src/languages/sql_idx.ts                 475      5853
  src/languages/sfc_idx.ts                 237      5625
  src/bridges/codex_install.ts             269      5599
  src/index_prune.ts                       219      5596
  src/languages/kotlin.ts                  434      5553
  src/languages/csharp.ts                  463      5502
  src/hints/lang_patterns.ts               560      5470
  src/baseline.ts                          356      5383
  src/memory_prune.ts                      355      5368
  src/failures.ts                          538      5266
  src/index_reader.ts                      347      5247
  src/hints/file_type_handler.ts           462      5111
  src/ts_refs.ts                           198      5066
  src/languages/apex.ts                    250      4890
  src/project.ts                           530      4767
  src/tool_filters/dispatch.ts             158      4758
  src/waste.ts                             284      4720
  src/bridges/copilot_cli_install.ts       239      4679
  src/csv_query.ts                         401      4603
  src/relay.ts                             277      4602
  src/languages/scala.ts                   384      4559
  src/image_shrink.ts                      286      4530
  src/hook_registry.ts                     291      4383
  src/languages/swift.ts                   376      4319
  src/doc_compact.ts                       285      4317
  src/tool_filters/pytest.ts                52      4291
  src/xlsx_extract.ts                      411      4274
  src/languages/powershell_idx.ts           77      4232
  src/session_read.ts                      190      4208
  src/languages/php.ts                     327      4181
  src/hooks_cli.ts                         298      4136
  src/tool_filters/base.ts                 340      4036
  src/bridges_status.ts                    218      4028
  src/parser_types.ts                      298      3970
  src/paths.ts                             153      3908
  src/recall_index.ts                      188      3898
  src/bash_compress.ts                     256      3865
  src/disk_cache.ts                        174      3851
  src/index_reclaim.ts                     196      3839
  src/cli_bootstrap_audit.ts               472      3832
  src/tool_filters/go_test.ts               46      3817
  src/constants.ts                         307      3783
  src/image_ocr.ts                         179      3716
  src/pptx_extract.ts                      251      3633
  src/languages/graphql_idx.ts             278      3559
  src/hooks_agent_spawn.ts                 180      3515
  src/openapi_query.ts                     200      3502
  src/hooks_common.ts                      278      3426
  src/pr_slice.ts                          196      3424
  src/languages/lua.ts                     274      3377
  src/bridges/openclaw_install.ts          169      3310
  src/bridges/opencode.ts                  159      3308
  src/languages/dart.ts                    264      3251
  src/languages/salesforce_frontend.ts     283      3250
  src/json_query.ts                        156      3238
  src/bash_runner.ts                        39      3229
  src/pdf_extract.ts                       230      3183
  src/mcp_cache.ts                         172      3176
  src/notes.ts                             175      3070
  src/conflict_query.ts                    217      3003
  src/bridges/openclaw.ts                  153      2995
  src/bridges/qwen_install.ts              124      2943
  src/project_memory.ts                    220      2921
  src/languages/terraform_idx.ts           175      2915
  src/snapshots.ts                         236      2914
  src/bridges/grok_install.ts              145      2836
  src/languages/makefile_idx.ts            195      2823
  src/languages/elixir.ts                  209      2773
  src/hooks_fetch.ts                       139      2716
  src/transcript_extract.ts                187      2709
  src/hooks_taskoutput.ts                  137      2671
  src/web_cache.ts                         152      2661
  src/bridges/grok.ts                      128      2647
  src/hooks_write.ts                       101      2577
  src/languages/proto_idx.ts               222      2547
  src/cli_context_stats.ts                 226      2505
  src/cli_statusline.ts                    119      2464
  src/bridges/pi_install.ts                126      2464
  src/languages/html.ts                    193      2461
  src/languages/zig.ts                     196      2408
  src/bridges/codex.ts                     150      2378
  src/hooks_mcp.ts                         135      2351
  src/render/ansi.ts                       175      2326
  src/hooks_bashoutput.ts                  111      2304
  src/hooks_index.ts                       159      2296
  src/hints/markdown_hints.ts              181      2224
  src/screenshot.ts                        193      2209
  src/gdrive.ts                            182      2166
  src/hooks_browser_image.ts               104      2159
  src/cli_stats.ts                         143      2153
  src/cli_memory.ts                        108      2112
  src/bridges/registry.ts                  127      2112
  src/ooxml_extract.ts                     190      2102
  src/sharepoint_resolve.ts                151      2094
  src/content_store.ts                     137      2076
  src/languages/bash_idx.ts                 74      2049
  src/resume.ts                            115      2015
  src/bridges/relay_block.ts                78      1980
  src/walk_index.ts                        130      1957
  src/bridges/vscode_install.ts            141      1949
  src/bridges/guidance_block.ts             88      1945
  src/hooks_edit.ts                        127      1908
  src/cli_mcp_audit.ts                     246      1906
  src/bridges/claudecode.ts                116      1828
  src/languages/ini_idx.ts                  98      1812
  src/skill_version_drift.ts                76      1801
  src/hooks_session.ts                     111      1747
  src/hooks_skill.ts                       125      1736
  src/mcp_compress.ts                       83      1719
  src/notebook_compact.ts                  170      1715
  src/bridges/opencode_install.ts           88      1708
  src/overflow_guard.ts                    133      1630
  src/tool_filters/index.ts                 64      1628
  src/secret_redact.ts                      82      1603
  src/shell.ts                              19      1569
  src/languages/liquid.ts                  132      1566
  src/languages/ipynb_idx.ts                61      1554
  src/filters.ts                            97      1517
  src/hooks_websearch.ts                    73      1513
  src/render/types.ts                       89      1476
  src/hooks_screenshot.ts                   76      1467
  src/hooks_exitplanmode.ts                 87      1443
  src/doc_comment.ts                        74      1439
  src/filter_counts.ts                     117      1383
  src/failures_state.ts                     74      1365
  src/confirm_apply.ts                      89      1349
  src/hooks_glob.ts                         59      1311
  src/hooks_session_start.ts                55      1221
  src/hooks_grep.ts                         56      1158
  src/cli_waste.ts                          96      1134
  src/cli_commands.ts                       90      1100
  src/injection_scan.ts                     63      1093
  src/types.ts                              63      1031
  src/video_chapters.ts                    110      1014
  src/sql_path.ts                           25      1010
  src/archive_query.ts                      67      1003
  src/languages/r.ts                        66       987
  src/doc_embed_extract.ts                  49       902
  src/env.ts                                70       852
  src/tool_filters/test_runners.ts          41       774
  src/cli_hint_stats.ts                     59       756
  src/docx_extract.ts                       57       721
  src/fingerprint.ts                        57       672
  src/cli_recall.ts                         50       662
  src/markdown_lines.ts                     37       555
  src/bridges/index.ts                      50       521
  src/bridges/matcher_group.ts              28       518
  src/reset.ts                              45       511
  src/bridges/types.ts                      44       441
  src/hints.ts                              38       434
  src/tool_filters/generic.ts               18       395
  src/languages/index.ts                    34       388
  src/web_extract.ts                        28       339
  src/version.ts                            25       334
  src/repomap.ts                            29       305
  src/lazy_module.ts                        21       277
  src/hook_lib.ts                           16       259
  src/html-to-text.d.ts                     16       180
  src/render/index.ts                       12       125
  src/main.ts                               12       124
  src/languages/env_idx.ts                  10       118
  ------------------------------------  ------  --------
  Total                                  71116   1205864  (603% of 200K)
